Id,Category
0, 2
1, 10
2, 4
3, 9
4, 7
5, 3
6, 9
7, 10
8, 2
9, 2
10, 4
11, 0
12, 6
13, 10
14, 5
15, 4
16, 9
17, 4
18, 5
19, 9
20, 3
21, 5
22, 3
23, 3
24, 9
25, 3
26, 10
27, 4
28, 6
29, 8
30, 5
31, 9
32, 2
33, 2
34, 2
35, 9
36, 5
37, 10
38, 10
39, 2
40, 6
41, 2
42, 2
43, 2
44, 5
45, 1
46, 10
47, 3
48, 0
49, 9
50, 10
51, 1
52, 3
53, 3
54, 2
55, 8
56, 7
57, 9
58, 6
59, 2
60, 5
61, 8
62, 2
63, 3
64, 10
65, 8
66, 3
67, 9
68, 4
69, 10
70, 5
71, 5
72, 6
73, 8
74, 9
75, 6
76, 4
77, 2
78, 2
79, 9
80, 4
81, 1
82, 9
83, 8
84, 6
85, 2
86, 4
87, 4
88, 10
89, 6
90, 5
91, 2
92, 4
93, 5
94, 6
95, 6
96, 1
97, 2
98, 6
99, 10
100, 2
101, 2
102, 5
103, 8
104, 4
105, 7
106, 6
107, 5
108, 9
109, 3
110, 5
111, 5
112, 2
113, 3
114, 9
115, 4
116, 9
117, 7
118, 9
119, 3
120, 0
121, 5
122, 0
123, 5
124, 1
125, 8
126, 7
127, 8
128, 10
129, 9
130, 5
131, 3
132, 10
133, 0
134, 2
135, 3
136, 3
137, 10
138, 3
139, 0
140, 8
141, 4
142, 6
143, 5
144, 1
145, 4
146, 9
147, 5
148, 2
149, 2
150, 5
151, 4
152, 6
153, 0
154, 2
155, 1
156, 2
157, 2
158, 8
159, 2
160, 5
161, 4
162, 5
163, 5
164, 8
165, 2
166, 5
167, 8
168, 3
169, 9
170, 10
171, 2
172, 2
173, 4
174, 9
175, 2
176, 9
177, 10
178, 8
179, 5
180, 0
181, 8
182, 9
183, 5
184, 10
185, 9
186, 10
187, 2
188, 2
189, 4
190, 9
191, 3
192, 2
193, 3
194, 5
195, 5
196, 8
197, 9
198, 0
199, 4
200, 9
201, 2
202, 8
203, 7
204, 4
205, 0
206, 7
207, 9
208, 10
209, 4
210, 2
211, 5
212, 10
213, 2
214, 2
215, 0
216, 10
217, 0
218, 9
219, 5
220, 5
221, 2
222, 2
223, 6
224, 5
225, 5
226, 2
227, 9
228, 6
229, 3
230, 2
231, 2
232, 7
233, 4
234, 1
235, 9
236, 0
237, 10
238, 4
239, 2
240, 5
241, 3
242, 2
243, 4
244, 9
245, 5
246, 0
247, 9
248, 10
249, 5
250, 9
251, 3
252, 2
253, 2
254, 5
255, 0
256, 2
257, 9
258, 3
259, 4
260, 4
261, 8
262, 7
263, 4
264, 5
265, 9
266, 1
267, 3
268, 0
269, 9
270, 2
271, 3
272, 10
273, 5
274, 5
275, 1
276, 9
277, 2
278, 9
279, 9
280, 9
281, 9
282, 2
283, 0
284, 10
285, 0
286, 2
287, 4
288, 3
289, 10
290, 9
291, 0
292, 8
293, 8
294, 5
295, 2
296, 7
297, 5
298, 5
299, 5
300, 2
301, 9
302, 3
303, 1
304, 5
305, 10
306, 2
307, 3
308, 9
309, 3
310, 9
311, 3
312, 7
313, 8
314, 8
315, 3
316, 7
317, 5
318, 5
319, 9
320, 2
321, 2
322, 5
323, 0
324, 4
325, 5
326, 5
327, 6
328, 10
329, 4
330, 3
331, 0
332, 5
333, 9
334, 4
335, 2
336, 3
337, 2
338, 5
339, 2
340, 9
341, 6
342, 5
343, 3
344, 2
345, 5
346, 4
347, 6
348, 4
349, 9
350, 5
351, 2
352, 6
353, 2
354, 6
355, 2
356, 0
357, 10
358, 10
359, 4
360, 9
361, 5
362, 10
363, 2
364, 5
365, 5
366, 4
367, 3
368, 2
369, 6
370, 9
371, 4
372, 5
373, 4
374, 3
375, 3
376, 9
377, 9
378, 8
379, 5
380, 10
381, 6
382, 3
383, 8
384, 2
385, 3
386, 2
387, 10
388, 10
389, 8
390, 2
391, 7
392, 10
393, 8
394, 6
395, 2
396, 8
397, 8
398, 8
399, 9
400, 9
401, 4
402, 9
403, 9
